idx,hashtag,emoji_s,count
4933,宋祖儿吃螺蛳粉,"(11, 16, 8, 6, 4, 2, 5, 3, 14, 18, 1, 7, 13, 24, 23, 21, 10, 9, 15, 12, 20, 22, 17, 19)","(6346, 1564, 198, 155, 149, 133, 107, 96, 93, 55, 40, 40, 29, 20, 15, 14, 11, 7, 6, 5, 5, 5, 4, 3)"
4934,宋祖儿后台赶作业,"(3, 15, 6, 16, 11, 5, 19, 14, 2, 1, 10, 13, 4, 8, 17, 22, 18, 7, 21, 9, 20, 23, 24, 12)","(178, 149, 137, 53, 34, 29, 28, 27, 21, 19, 19, 18, 17, 16, 16, 16, 12, 11, 11, 9, 9, 8, 8, 6)"
4935,宋祖儿阮经天,"(14, 11, 6, 8, 2, 16, 18, 10, 3, 5, 9, 12, 15, 21, 4, 1, 13, 22, 7, 17, 24, 20, 19, 23)","(2123, 873, 231, 129, 115, 68, 61, 58, 57, 47, 37, 37, 37, 37, 32, 31, 31, 29, 28, 27, 27, 26, 24, 23)"
4936,宋老师 再会了美廷,"(5, 16, 17, 22, 6, 4, 21, 3, 15, 24, 11, 18, 1, 13, 20)","(5413, 432, 47, 9, 7, 7, 7, 6, 5, 5, 3, 3, 1, 1, 1)"
4937,宋茜 哪吒专辑,"(7, 16, 5, 15, 20, 2, 22, 18, 19, 11, 23, 8, 6, 3, 4, 10, 12, 17, 21)","(5518, 213, 193, 64, 45, 44, 43, 42, 41, 39, 33, 26, 8, 5, 2, 1, 1, 1, 1)"
4938,宋茜 高马尾,"(7, 16, 23, 11, 15, 2, 19, 5, 18, 8, 4, 3, 6, 9, 21, 12, 17, 14, 13, 20, 22, 10, 1)","(4573, 367, 252, 242, 170, 120, 95, 77, 69, 35, 20, 14, 14, 11, 7, 6, 5, 4, 3, 3, 3, 2, 1)"
4939,宋茜发带,"(7, 11, 16, 19, 23, 18, 15, 4, 8, 5, 14, 2, 20, 6, 3, 9, 22, 24, 10, 12, 13, 1, 21)","(4712, 398, 394, 269, 263, 228, 82, 26, 22, 13, 11, 10, 9, 8, 4, 4, 4, 3, 2, 2, 2, 1, 1)"
4940,宋茜发长文,"(16, 11, 23, 14, 4, 6, 5, 17, 18, 10, 8, 24, 15, 21, 1, 3, 7, 22, 2, 12, 13, 20, 9, 19)","(6139, 972, 309, 118, 71, 45, 42, 39, 36, 24, 22, 16, 14, 12, 10, 10, 9, 9, 8, 8, 6, 5, 3, 3)"
4941,宋茜向粉丝飞吻,"(16, 7, 11, 23, 3, 6, 8, 2, 18, 4, 19, 9, 13, 5, 15, 1, 20, 21, 22, 24)","(4285, 320, 252, 235, 169, 161, 156, 102, 87, 23, 15, 7, 3, 2, 2, 1, 1, 1, 1, 1)"
4942,宋茜女团舞直拍,"(7, 16, 15, 5, 23, 8, 11, 19, 20, 22, 6, 2, 3, 9, 4, 21, 10, 14, 12, 13, 18, 1, 24)","(5621, 268, 137, 86, 65, 43, 39, 35, 28, 26, 20, 18, 6, 6, 5, 4, 3, 2, 2, 2, 2, 1, 1)"
4943,宋茜宋威龙CP感,"(16, 11, 5, 6, 7, 8, 4, 24, 21, 18, 9, 3, 15, 14, 13, 23, 2, 20, 10, 12, 17, 19, 22, 1)","(5042, 1050, 302, 281, 204, 146, 38, 36, 34, 18, 16, 15, 12, 11, 11, 10, 7, 7, 4, 3, 3, 3, 3, 2)"
4944,宋茜宋威龙好甜,"(16, 11, 7, 5, 24, 4, 8, 6, 18, 1, 3, 13, 15, 22, 23, 14, 17, 19, 21, 2, 20, 9, 10, 12)","(4460, 1185, 202, 153, 73, 49, 48, 39, 39, 17, 13, 13, 12, 8, 8, 7, 7, 6, 5, 4, 3, 2, 2, 2)"
4945,宋茜宫廷风封面,"(16, 7, 15, 23, 11, 2, 5, 19, 20, 18, 4, 22, 8, 17, 14, 9, 10, 13, 24)","(4385, 350, 202, 202, 185, 99, 65, 58, 55, 49, 15, 11, 2, 2, 1, 1, 1, 1, 1)"
4946,宋茜橘色高腰阔腿裤,"(16, 7, 11, 23, 18, 15, 6, 14, 5, 2, 24, 17, 22, 3, 8, 21)","(836, 141, 24, 23, 15, 13, 12, 10, 9, 7, 5, 4, 3, 1, 1, 1)"
4947,宋茜清唱生来倔强,"(16, 15, 11, 19, 23, 7, 4, 18, 21, 1, 6, 22, 24, 8, 5)","(4085, 315, 310, 173, 128, 82, 21, 14, 14, 8, 8, 8, 8, 6, 1)"
4948,宋茜演技,"(16, 11, 15, 14, 7, 6, 8, 5, 4, 13, 23, 3, 10, 21, 2, 9, 17, 18, 22, 19, 24, 20, 1, 12)","(5300, 1207, 347, 50, 43, 35, 34, 27, 20, 18, 17, 16, 16, 7, 4, 4, 4, 4, 4, 3, 3, 2, 1, 1)"
4949,宋茜点评,"(15, 16, 6, 19, 11, 7, 5, 23, 1, 3, 20, 18, 10, 4, 9, 14, 12, 21, 8, 13, 2, 17, 22, 24)","(5953, 416, 269, 208, 196, 125, 39, 23, 20, 18, 17, 15, 13, 13, 9, 6, 5, 4, 3, 3, 1, 1, 1, 1)"
4950,宋茜牛仔裤,"(7, 11, 16, 23, 18, 8, 5, 20, 14, 6, 21, 3, 4, 15, 9, 2, 10, 12, 13, 19, 22, 24)","(4389, 681, 605, 254, 46, 25, 18, 16, 13, 12, 10, 4, 4, 3, 2, 1, 1, 1, 1, 1, 1, 1)"
4951,宋茜白色西装,"(23, 7, 16, 22, 18, 8, 20, 17, 5, 11, 2, 3, 6, 21)","(784, 79, 39, 35, 15, 11, 9, 6, 5, 5, 2, 2, 1, 1)"
4952,宋茜的猪又长大了,"(6, 3, 8, 21, 11, 1, 4, 16, 9, 19, 14, 20, 22, 10, 7, 17, 23, 24, 5, 15, 2, 12, 13, 18)","(634, 203, 150, 44, 39, 38, 34, 33, 25, 25, 24, 24, 24, 22, 20, 15, 15, 15, 14, 13, 11, 9, 7, 6)"
4953,宋茜空气感黑纱裙,"(7, 16, 11, 23, 15, 2, 20, 22, 5, 19, 4, 18, 21, 8, 13, 10, 24, 3, 1, 6, 14, 12)","(4964, 299, 121, 117, 62, 61, 59, 56, 51, 43, 38, 33, 12, 10, 7, 6, 5, 3, 2, 2, 1, 1)"
4954,宋茜端着盆喝汤,"(3, 6, 8, 11, 16, 1, 4, 15, 5, 18, 7, 21, 22, 13, 2, 23, 24, 17, 20, 19, 14)","(751, 196, 93, 57, 19, 16, 15, 15, 14, 13, 11, 10, 10, 9, 8, 8, 8, 7, 7, 3, 1)"
4955,宋茜粉丝喊你的错,"(19, 3, 6, 8, 16, 23, 20, 24, 21, 22, 4, 10, 11, 5, 7, 15)","(544, 334, 202, 87, 42, 11, 9, 8, 6, 6, 5, 2, 2, 1, 1, 1)"
4956,宋茜红丝绒长裙,"(16, 7, 14, 5, 6, 21, 23, 24, 11, 3, 17, 8, 15, 20, 19)","(554, 154, 23, 16, 10, 10, 9, 8, 5, 4, 4, 3, 3, 2, 1)"
4957,宋茜红礼服裙,"(23, 8, 12, 19, 17, 20, 11, 1, 6, 3, 9, 24)","(211, 9, 9, 9, 8, 7, 5, 3, 2, 1, 1, 1)"
4958,宋茜给工作人员包饺子,"(16, 11, 24, 22, 7, 15, 3, 19, 9, 4, 21, 18, 10, 5, 2, 6, 17, 1, 13, 12, 23, 8, 20, 14)","(3676, 368, 294, 123, 88, 41, 27, 23, 18, 15, 13, 12, 11, 10, 8, 8, 8, 7, 6, 5, 5, 4, 4, 1)"
4959,宋茜给粉丝点鲍鱼饭,"(24, 16, 5, 22, 7, 8, 19, 3, 4, 11, 17, 18, 20, 15, 23, 14, 9, 13, 21, 10, 2, 6, 12, 1)","(1846, 851, 94, 66, 45, 37, 29, 28, 25, 21, 17, 16, 16, 12, 12, 11, 9, 9, 9, 8, 7, 6, 6, 5)"
4960,宋茜薇娅模仿王耀庆跳舞,"(3, 6, 7, 16, 8, 11, 15, 23, 2, 19, 22, 18, 20, 4, 12, 9, 13, 17, 21, 24, 1, 5, 10, 14)","(5926, 776, 527, 279, 247, 125, 125, 83, 47, 46, 17, 15, 12, 9, 6, 5, 5, 5, 5, 5, 4, 4, 4, 3)"
4961,宋茜认出韩国站姐,"(5, 16, 11, 18, 10, 23, 6, 3, 7, 20, 12, 4, 19, 2, 14, 15, 1, 13, 9, 21, 17, 22, 24, 8)","(1695, 785, 87, 37, 25, 20, 18, 16, 15, 14, 12, 12, 11, 10, 10, 10, 9, 9, 8, 8, 7, 6, 4, 2)"
4962,宋茜韩网生图,"(7, 16, 11, 2, 18, 21, 19, 22, 15, 24, 13, 20, 5, 3, 4, 17, 12, 8, 10, 9, 23, 6)","(1565, 243, 125, 27, 25, 25, 20, 18, 14, 14, 10, 10, 9, 8, 8, 7, 5, 4, 3, 2, 2, 1)"
4963,宋轶,"(15, 11, 14, 16, 2, 4, 1, 6, 8, 10, 9, 5, 19, 23, 21, 18, 12, 22, 24, 3, 20, 7, 13, 17)","(7382, 400, 323, 174, 113, 78, 61, 56, 44, 32, 23, 16, 15, 15, 12, 8, 7, 7, 7, 6, 6, 5, 5, 5)"
4964,宋轶冰淇淋绿长裙,"(7, 16, 11, 6, 23, 20, 3, 9, 15, 13, 24, 18, 22, 1, 14, 12, 19, 21, 5, 2, 4)","(358, 62, 57, 43, 23, 17, 12, 12, 10, 9, 9, 8, 7, 6, 6, 6, 6, 6, 5, 2, 2)"
4965,宋轶黑色水纹长裙,"(22, 7, 4, 16, 23, 3, 24, 12, 19, 10, 14, 8, 6, 9, 20, 5, 15)","(198, 78, 37, 31, 16, 9, 9, 7, 7, 4, 3, 3, 2, 2, 2, 1, 1)"
4966,宋轶龙须丸子头,"(7, 16, 8, 6, 24, 21, 1, 14, 4, 18, 19, 23, 10, 3, 5, 9, 13, 22, 15, 20)","(274, 66, 13, 12, 9, 8, 6, 6, 6, 5, 5, 5, 4, 3, 2, 2, 2, 2, 1, 1)"
4967,宋雪三观,"(15, 11, 16, 4, 6, 8, 19, 18, 3, 10, 21, 7, 5, 9, 23, 14, 20, 24, 22, 1, 13, 2, 17, 12)","(2769, 950, 336, 80, 77, 72, 35, 20, 19, 18, 18, 17, 16, 15, 13, 12, 12, 12, 10, 9, 9, 7, 7, 6)"
4968,宋雪东阳结婚,"(16, 11, 5, 4, 8, 6, 23, 1, 15, 14, 24, 2, 7, 18, 17, 3, 9, 21, 13, 19, 20, 22, 12, 10)","(1922, 464, 89, 84, 74, 55, 40, 36, 26, 24, 21, 19, 16, 16, 15, 13, 13, 13, 9, 9, 8, 7, 5, 3)"
4969,宋雪怀孕,"(11, 6, 4, 8, 16, 5, 14, 23, 1, 3, 18, 13, 2, 9, 21, 17, 12, 10, 24, 15, 19, 7, 20, 22)","(4359, 601, 258, 148, 144, 82, 69, 51, 46, 42, 42, 39, 34, 33, 30, 27, 19, 17, 15, 12, 8, 7, 6, 5)"
4970,完美关系 楼道接生,"(6, 11, 3, 12, 20, 15, 18, 19, 21, 14, 8, 4, 24, 16)","(146, 80, 36, 16, 8, 7, 7, 7, 7, 5, 2, 2, 2, 1)"
4971,完美关系 邦尼,"(16, 6, 22, 23, 3, 8, 11, 4, 2, 5, 21, 12, 1, 19, 15, 20, 24, 18, 14, 7, 9, 10, 13, 17)","(113, 46, 18, 17, 13, 13, 11, 10, 9, 9, 8, 7, 6, 6, 5, 5, 4, 2, 1, 1, 1, 1, 1, 1)"
4972,完美关系,"(6, 16, 8, 11, 2, 7, 1, 3, 5, 4, 15, 14, 10, 21, 13, 9, 23, 20, 22, 19, 18, 24, 12, 17)","(3442, 3271, 1840, 1058, 467, 399, 384, 360, 202, 182, 161, 143, 139, 136, 96, 92, 62, 53, 51, 49, 44, 38, 34, 31)"
4973,完美关系剧情,"(4, 1, 6, 13, 15, 11, 14, 16, 21, 9, 3, 7, 8, 24, 17, 10, 20, 19, 23)","(863, 169, 141, 114, 82, 57, 38, 26, 21, 20, 18, 17, 9, 9, 7, 5, 4, 2, 1)"
4974,完美关系大结局,"(5, 16, 11, 6, 8, 19, 4, 3, 9, 10, 15, 17, 14, 22, 7, 21, 24, 23, 1, 2, 18, 13)","(358, 239, 188, 37, 32, 18, 16, 15, 13, 10, 10, 10, 9, 9, 8, 8, 8, 7, 6, 3, 3, 1)"
4975,完美关系大结局预告,"(5, 11, 6, 15, 1, 9, 16, 21, 8, 20, 22, 3, 17, 13, 19, 14, 12, 23, 4, 2, 10, 24)","(139, 75, 36, 30, 14, 12, 12, 11, 10, 9, 9, 6, 6, 5, 5, 4, 4, 3, 2, 1, 1, 1)"
4976,完美关系女主人设,"(13, 11, 6, 14, 4, 1, 8, 16, 10, 3, 7, 21, 17, 18, 2, 19, 23, 9, 12, 15, 24, 20, 22, 5)","(2969, 554, 467, 284, 254, 134, 75, 59, 41, 35, 33, 33, 29, 29, 26, 20, 20, 19, 19, 17, 17, 15, 15, 11)"
4977,完美关系预告,"(16, 8, 6, 10, 14, 12, 19, 20, 21)","(57, 44, 5, 4, 3, 1, 1, 1, 1)"
4978,官方回应公司抢注李文亮商标,"(4, 11, 23, 5, 13, 24, 8, 18, 1, 16, 10, 21, 2, 15, 22, 6, 14, 9, 12, 17)","(3428, 75, 10, 9, 9, 9, 7, 7, 6, 6, 5, 5, 4, 4, 4, 3, 2, 1, 1, 1)"
4979,官方回应发热主动就诊奖1000元,"(11, 6, 22, 12, 4, 5, 15, 24, 17, 1, 3, 20, 23, 13, 18, 10, 16, 21, 8, 19, 14, 9, 2)","(514, 148, 45, 28, 26, 16, 15, 15, 11, 10, 9, 8, 8, 6, 6, 5, 4, 4, 3, 3, 2, 2, 1)"
4980,官方回应女子返乡42天后确诊,"(11, 12, 21, 1, 9, 17, 4, 14, 24, 23, 3, 5, 6, 19, 8, 10, 13, 16)","(203, 54, 35, 30, 21, 14, 13, 11, 7, 6, 4, 4, 4, 4, 1, 1, 1, 1)"
4981,官方回应护士被社区居民驱赶,"(4, 13, 17, 9, 16, 23, 1, 5, 8, 11, 2, 3, 18, 19, 15, 20, 14, 21)","(2199, 71, 36, 22, 21, 20, 17, 11, 11, 11, 10, 8, 8, 8, 7, 7, 2, 2)"
4982,官方回应洒水车驱逐赶集人群,"(15, 4, 8, 11, 22, 7, 20, 5, 24, 13, 1, 14, 16, 19, 21)","(894, 96, 24, 19, 9, 8, 8, 7, 4, 2, 1, 1, 1, 1, 1)"
4983,官方回应湖南多名公职人员涉毒,"(4, 11, 1, 23, 14, 15, 13, 17, 7, 12, 19, 21, 10, 8, 3, 6, 18, 5, 24)","(2430, 60, 40, 27, 25, 23, 19, 17, 16, 14, 12, 9, 7, 5, 2, 2, 2, 1, 1)"
4984,官方回应火神山医院漏水,"(6, 4, 8, 11, 3, 16, 12, 2, 15, 22, 20, 19, 23, 18, 21, 14, 24, 10, 7, 9, 13, 1, 5, 17)","(515, 85, 80, 43, 24, 24, 23, 22, 20, 19, 16, 15, 15, 13, 12, 9, 9, 8, 7, 7, 7, 6, 6, 2)"
4985,官方回应网友建议新冠高架改名,"(3, 11, 6, 8, 14, 18, 24, 7, 10, 22, 5, 21, 23, 1, 16, 20)","(304, 84, 27, 27, 18, 11, 9, 8, 8, 8, 6, 6, 6, 5, 1, 1)"
4986,官方致歉火车站扶梯长期未使用,"(4, 1, 8, 3, 21, 15, 14, 22, 11, 23, 20, 6, 13, 9, 10, 24)","(1267, 28, 21, 20, 19, 18, 16, 13, 10, 8, 7, 6, 4, 2, 2, 1)"
4987,官方辟谣网传深圳口岸被挤爆,"(11, 13, 1, 8, 9, 4, 21, 6, 15, 23, 16, 24, 20, 3, 17, 14, 5, 10)","(325, 33, 29, 24, 15, 14, 12, 11, 9, 9, 7, 7, 5, 2, 2, 1, 1, 1)"
4988,官方通报火神山医院冲突,"(16, 22, 6, 23, 8, 19, 11, 14, 21, 15, 12, 3, 10, 18, 2, 13, 17, 7, 1, 9, 20, 4, 5, 24)","(4250, 239, 175, 99, 66, 41, 40, 34, 31, 30, 29, 28, 28, 28, 27, 27, 26, 24, 21, 21, 21, 20, 17, 6)"
4989,官方通报班主任给女生发暧昧信息,"(4, 16, 11, 1, 18, 13, 17, 21, 15, 3, 12, 7, 8, 10, 19, 24, 5, 6, 20, 23)","(9030, 417, 304, 51, 40, 25, 25, 20, 11, 5, 4, 2, 2, 2, 2, 2, 1, 1, 1, 1)"
4990,宜家抽屉柜压死男童赔偿3.2亿,"(10, 12, 24, 9, 5, 11, 14, 3, 16, 4, 1, 17, 21, 2, 15, 18, 6, 8, 19, 20, 22, 7, 23, 13)","(66, 44, 29, 18, 17, 17, 16, 15, 15, 14, 10, 10, 10, 9, 9, 9, 6, 6, 5, 5, 5, 3, 2, 1)"
4991,宜宾事故14名失联人员位置确认,"(18, 5, 17, 16, 20, 9, 22, 15, 23, 11, 13, 8, 1, 21, 24, 6, 7)","(1643, 140, 21, 20, 17, 15, 10, 8, 8, 7, 7, 4, 2, 2, 2, 1, 1)"
4992,宝剑嫂给男朋友涂口红,"(3, 11, 8, 6, 15, 16, 4, 12, 19, 5, 21, 23, 7, 2, 9, 10, 22, 24)","(982, 599, 128, 64, 39, 22, 17, 15, 11, 9, 9, 9, 7, 4, 1, 1, 1, 1)"
4993,宝宝周岁宴姥姥做出花式馒头,"(7, 15, 16, 6, 8, 5, 22, 2, 19, 11, 4, 18, 1, 3, 20, 24, 13, 9, 12, 23, 21)","(314, 57, 24, 18, 16, 15, 13, 11, 10, 9, 8, 8, 7, 6, 6, 6, 5, 4, 4, 3, 1)"
4994,宝宝和去世狗狗同样胎记,"(5, 16, 11, 22, 6, 1, 2, 4, 9, 14, 13, 17, 23, 24, 8, 10, 12, 15, 18, 3, 7, 21, 19, 20)","(4264, 809, 180, 45, 22, 16, 13, 13, 12, 11, 11, 11, 11, 11, 10, 7, 7, 7, 7, 6, 5, 5, 4, 2)"
4995,宝宝是从哪来的呀,"(3, 6, 8, 11, 16, 7, 13, 24, 2, 19, 5, 15, 17, 10, 4, 21, 14, 20, 22, 18, 23, 9)","(445, 195, 84, 37, 30, 21, 14, 12, 10, 8, 7, 7, 7, 6, 6, 5, 4, 4, 4, 3, 3, 2)"
4996,宝宝的可爱戴口罩方式,"(7, 3, 16, 6, 23, 5, 2, 8, 21, 11, 14, 10, 24, 19, 22, 12, 20, 9, 1, 13, 18, 17)","(899, 180, 112, 84, 27, 25, 23, 19, 19, 17, 15, 15, 15, 13, 9, 8, 8, 5, 3, 3, 2, 1)"
4997,宝宝被感染隔离护士成临时妈妈,"(16, 5, 22, 17, 14, 4, 20, 23, 6, 8, 11, 13, 21, 1, 2, 12, 19, 24, 18)","(2011, 144, 73, 9, 8, 7, 7, 7, 6, 6, 5, 4, 4, 3, 3, 3, 2, 2, 1)"
4998,宝宝趴窗边一动不动的原因,"(3, 8, 6, 7, 11, 20, 9, 19, 1, 22, 5, 16, 2, 15, 17, 21, 23)","(1475, 257, 182, 40, 15, 10, 7, 7, 6, 5, 3, 2, 1, 1, 1, 1, 1)"
4999,宝应,"(4, 11, 1, 18, 6, 5, 13, 17, 21, 14, 7, 8, 22, 3, 24, 15, 20, 10, 16, 9, 2, 12, 19, 23)","(4699, 147, 96, 62, 57, 36, 32, 29, 19, 14, 10, 10, 10, 9, 8, 7, 7, 6, 6, 5, 4, 4, 2, 2)"
5000,宝石gem回应野狼disco涉侵权,"(23, 4, 14, 11, 15, 6, 19, 1, 10, 3, 13, 24, 9, 2, 21, 8, 7, 16, 20, 5, 12, 22, 18, 17)","(2441, 1215, 608, 192, 81, 72, 42, 37, 36, 32, 31, 29, 28, 22, 22, 21, 19, 19, 19, 16, 16, 14, 8, 7)"
5001,宝石gem经纪人回应,"(4, 11, 14, 15, 10, 8, 6, 16, 1, 9, 3, 13, 2, 18, 22, 23, 17, 21, 5, 20, 24, 12, 19, 7)","(3684, 466, 453, 267, 80, 53, 47, 45, 31, 31, 28, 23, 21, 20, 17, 14, 12, 11, 9, 9, 9, 8, 8, 7)"
5002,宝石老舅,"(4, 14, 11, 6, 8, 15, 1, 16, 18, 17, 3, 24, 12, 13, 23, 20, 2, 10, 7, 21, 9, 19, 22, 5)","(4353, 426, 237, 77, 52, 51, 44, 42, 34, 32, 30, 25, 22, 20, 20, 19, 17, 17, 15, 10, 9, 8, 5, 2)"
5003,实名羡慕萧亚轩,"(11, 24, 4, 7, 8, 23, 6, 18, 14, 16, 3, 1, 22, 5, 21, 13, 20, 12, 15, 2, 10, 17, 19, 9)","(3338, 1884, 193, 92, 90, 87, 61, 51, 42, 42, 23, 21, 14, 10, 9, 6, 5, 4, 4, 3, 2, 2, 2, 1)"
5004,实探郑州富士康复工,"(8, 9, 11, 15, 17, 19, 4, 6, 2, 5, 16, 20, 23)","(42, 21, 11, 9, 6, 5, 3, 2, 1, 1, 1, 1, 1)"
5005,宠爱,"(16, 5, 6, 3, 23, 2, 8, 17, 11, 4, 22, 7, 15, 20, 9, 13, 24, 18, 10, 19, 21, 14, 12, 1)","(2461, 843, 236, 63, 36, 26, 23, 13, 12, 11, 10, 9, 9, 9, 8, 7, 7, 6, 5, 5, 3, 2, 2, 1)"
5006,宠爱主题曲MV,"(16, 7, 5, 6, 8, 11, 15, 22, 24, 4, 19, 20, 3, 21, 23, 9)","(1397, 331, 207, 58, 27, 27, 13, 13, 13, 7, 6, 6, 5, 4, 3, 2)"
5007,宠爱彩蛋,"(16, 3, 5, 6, 8, 22, 7, 23, 10, 13, 11, 2, 18, 24, 14, 20)","(240, 42, 39, 35, 28, 20, 14, 10, 9, 9, 7, 6, 6, 6, 5, 3)"
5008,宠爱票房破4亿,"(16, 11, 5, 22, 3, 7, 23, 15, 6, 8, 14, 13, 12, 1, 21, 18, 2, 20, 19)","(470, 73, 63, 32, 23, 20, 18, 17, 16, 16, 14, 11, 9, 7, 6, 5, 4, 3, 2)"
5009,宠爱终极预告,"(16, 5, 7, 23, 15, 8, 6, 1, 21, 2, 3)","(589, 108, 68, 22, 18, 11, 5, 3, 3, 2, 1)"
5010,宠爱陪你跨年,"(23, 16, 8, 4, 21, 22, 24)","(271, 17, 9, 9, 3, 3, 2)"
5011,宠爱首映,"(16, 7, 6, 8, 3, 23, 5, 15, 24, 2, 14, 18, 22, 17, 19, 10, 9, 1, 4, 21)","(802, 264, 147, 91, 46, 26, 15, 14, 14, 10, 10, 9, 9, 8, 6, 3, 2, 1, 1, 1)"
5012,宠物接触到疫情也需隔离,"(12, 4, 5, 6, 11, 1, 8, 16, 15, 21, 13, 23, 17, 14, 9, 18, 7, 19, 2, 3, 24, 22, 10, 20)","(1125, 493, 350, 186, 149, 92, 65, 51, 49, 46, 43, 33, 29, 21, 20, 19, 16, 16, 15, 15, 15, 12, 11, 9)"
5013,客服电话惹毛你的全过程,"(6, 3, 1, 8, 4, 11, 21, 13, 22, 2, 10)","(51, 14, 12, 12, 10, 7, 7, 5, 2, 1, 1)"
5014,宣传标语也太硬核了,"(6, 8, 19, 3, 17, 23, 21, 16, 18, 9, 13, 4, 24, 7, 15, 1, 11, 22, 12, 14, 20)","(226, 81, 65, 31, 17, 11, 9, 8, 8, 7, 7, 7, 7, 6, 6, 3, 3, 3, 2, 1, 1)"
5015,宣美开微博,"(7, 11, 16, 5, 14, 8, 2, 13, 4, 18, 23, 24, 6, 19, 1, 20, 21, 12, 3, 9, 15, 17)","(2595, 1934, 125, 61, 43, 37, 28, 27, 19, 18, 18, 18, 16, 14, 12, 9, 9, 8, 5, 3, 3, 3)"
5016,室友可以过分到什么程度,"(1, 13, 6, 8, 11, 22, 5, 2, 4, 24, 21, 3, 14, 10, 16, 18, 19, 23)","(309, 79, 47, 34, 24, 16, 15, 8, 6, 6, 4, 2, 2, 1, 1, 1, 1, 1)"
5017,宫崎骏新作已完成36分钟,"(16, 7, 5, 4, 23, 19, 8, 6, 15, 11, 20, 24, 14, 18, 9, 3, 22, 21, 1, 2, 10, 13, 17)","(4830, 316, 71, 28, 27, 23, 16, 15, 12, 10, 9, 9, 8, 8, 7, 6, 4, 3, 2, 1, 1, 1, 1)"
5018,宫廷少女礼裙,"(7, 11, 2, 8, 16, 10, 14, 6, 23, 19, 24, 3, 17, 4)","(236, 123, 24, 10, 9, 7, 6, 5, 5, 4, 4, 3, 3, 1)"
5019,宫蓓蓓和老公吵架,"(11, 4, 16, 22, 14, 8, 6, 13, 5, 19, 23, 1, 3, 21, 17, 18, 15, 7, 2, 24, 12, 9, 10, 20)","(294, 119, 119, 104, 43, 30, 26, 20, 18, 18, 16, 15, 13, 13, 12, 12, 9, 8, 7, 7, 6, 5, 5, 2)"
5020,害怕打电话是什么心理,"(6, 21, 1, 9, 15, 5, 10, 13, 8, 11, 17, 22)","(53, 25, 9, 8, 6, 5, 3, 2, 1, 1, 1, 1)"
5021,家人捐出霍金生前呼吸机,"(5, 15, 16, 14, 8, 22, 11, 17, 18, 21, 6, 20, 23, 2, 24, 3, 9, 10, 4, 1, 7, 12, 19)","(4661, 916, 627, 42, 17, 15, 14, 13, 11, 9, 8, 6, 6, 3, 3, 2, 2, 2, 2, 1, 1, 1, 1)"
5022,家庭版抗疫措施怎么做,"(15, 16, 6, 10, 18, 22, 7, 11, 17, 1, 20, 21, 14, 19, 2, 5, 9, 24, 8, 23, 13, 4)","(505, 29, 27, 22, 19, 15, 9, 9, 9, 7, 7, 7, 6, 6, 5, 5, 5, 5, 2, 2, 1, 1)"
5023,家有儿女 夏雨夏雪夏冰雹,"(16, 11, 23, 3, 5, 7, 4, 19, 6, 18, 15, 8, 1, 9, 13, 20, 24, 2, 14, 10, 17, 21, 12, 22)","(6089, 701, 251, 179, 110, 75, 47, 25, 23, 13, 11, 9, 8, 8, 8, 8, 8, 7, 7, 7, 7, 7, 6, 6)"
5024,家用吹风机给口罩消毒,"(6, 11, 8, 3, 1, 13, 16, 19, 9, 12, 15, 5, 7, 4, 20, 22, 10, 21, 14, 18, 23, 24, 17, 2)","(383, 285, 77, 43, 24, 19, 19, 19, 18, 18, 13, 10, 9, 9, 9, 9, 8, 8, 7, 5, 5, 5, 4, 3)"
5025,家长满意网课的原因,"(4, 8, 6, 2, 3, 21, 5, 1, 13, 14, 15, 11, 23, 9, 16, 22, 17)","(816, 501, 221, 60, 59, 46, 36, 29, 29, 23, 16, 9, 7, 4, 3, 2, 1)"
5026,家长背70斤设备免费给学校消毒,"(15, 11, 4, 16, 6, 19, 23, 3, 8, 9, 12, 14, 7, 21, 22, 1, 2, 24)","(1956, 171, 90, 86, 36, 25, 18, 16, 14, 12, 9, 7, 4, 4, 3, 2, 1, 1)"
5027,容器的形状决定猫的形状,"(3, 6, 8, 7, 21, 15, 9, 20, 16, 17, 11, 18, 13, 22, 5)","(516, 189, 46, 23, 16, 10, 8, 8, 6, 5, 4, 4, 2, 2, 1)"
5028,容祖儿 挥着翅膀的女孩,"(16, 4, 5, 11, 8, 1, 15, 6, 14, 18, 7, 9, 2, 3, 21, 23, 13, 12, 24, 10, 17, 19, 22)","(1399, 853, 140, 68, 35, 26, 26, 24, 18, 17, 15, 10, 8, 8, 7, 7, 6, 5, 3, 2, 1, 1, 1)"
5029,宿管阿姨帮学生晒被100多床,"(24, 15, 16, 5, 23, 6, 21, 8, 4, 12, 22, 1, 7, 11, 3, 13, 14, 9, 10, 17, 20, 18, 19)","(3406, 709, 390, 309, 177, 160, 79, 52, 24, 23, 17, 15, 15, 11, 10, 9, 8, 3, 3, 3, 2, 1, 1)"
5030,宿管阿姨隔空接单晒上万床被子,"(24, 16, 15, 6, 5, 8, 19, 7, 21, 10, 20, 18, 4, 23, 9, 11, 12, 22, 3, 13, 2)","(2299, 427, 288, 157, 105, 56, 45, 44, 22, 9, 8, 7, 6, 6, 5, 5, 5, 4, 3, 3, 1)"
